filename, version, description, algorithm, param, test_auc_roc, test_accuracy, test_tpr/recall, test_fpr, test_precision, test_f1_score ,submission ,submission_score,CV,train_auc_roc,train_accuracy,train_tpr/recall, train_fpr,train_precision,train_f1_score 
model_15,9,LGB trained for ALL the features reg_lambda - 100,LGB,LGB(n_estimators=10000 random_state=0),0.7892,0.9208,0.0591,0.0036,0.5929,0.1075,NA,NA,dev set,0.8897,0.9272,0.1148,0.0015,0.8723,0.2029
model_15,10,LGB trained for ALL the features reg_lambda - 500,LGB,LGB(n_estimators=10000 random_state=0),0.789,0.9207,0.0569,0.0035,0.5883,0.1037,NA,NA,dev set,0.8674,0.925,0.0909,0.0017,0.8226,0.1637
model_15,11,LGB trained for ALL the features reg_lambda - 1500,LGB,LGB(n_estimators=10000 random_state=0),0.7889,0.9205,0.0566,0.0037,0.5754,0.103,NA,NA,dev set,0.8672,0.925,0.0911,0.0018,0.8189,0.1639
model_15,12,LGB trained for ALL the features reg_lambda - 100,LGB,LGB(n_estimators=10000 random_state=0),0.7892,0.9208,0.0591,0.0036,0.5929,0.1075,NA,NA,dev set,0.8897,0.9272,0.1148,0.0015,0.8723,0.2029
model_14,13,5 fold LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.792205,0.920412,0.057966,0.003849,0.56945,0.105221,Submission_22.csv,0.798,dev set,,,,,,
model_14,14,5 fold LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.792685,0.920272,0.055871,0.003817,0.562449,0.101645,Submission_23.csv,0.798,dev set,,,,,,
model_15,15,LGB trained for ALL the features col sample - 0.8,LGB,LGB(n_estimators=10000 random_state=0),0.7898,0.9207,0.0604,0.0037,0.5859,0.1096,NA,NA,dev set,0.8981,0.9282,0.1263,0.0014,0.8879,0.2212
model_15,16,LGB trained for ALL the features col sample – 0.5,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9207,0.0559,0.0033,0.5972,0.1023,NA,NA,dev set,0.8756,0.9257,0.0986,0.0017,0.8364,0.1763
model_15,17,LGB trained for ALL the features col sample - 0.3,LGB,LGB(n_estimators=10000 random_state=0),0.7862,0.9206,0.0559,0.0035,0.5852,0.1021,NA,NA,dev set,0.8868,0.9265,0.1059,0.0014,0.8668,0.1888
model_15,18,LGB trained for ALL the features col sample - 0.4,LGB,LGB(n_estimators=10000 random_state=0),0.7848,0.9207,0.0554,0.0033,0.5962,0.1014,NA,NA,dev set,0.8866,0.9264,0.1034,0.0013,0.8755,0.185
model_15,19,LGB trained for ALL the features col sample - 0.5,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9207,0.0559,0.0033,0.5972,0.1023,NA,NA,dev set,0.8756,0.9257,0.0986,0.0017,0.8364,0.1763
model_15,20,LGB trained for ALL the features col sample - 0.6,LGB,LGB(n_estimators=10000 random_state=0),0.79,0.9207,0.0591,0.0036,0.5891,0.1075,NA,NA,dev set,0.8923,0.9275,0.1182,0.0014,0.8786,0.2084
model_15,21,LGB trained for ALL the features col sample - 0.5,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9207,0.0559,0.0033,0.5972,0.1023,NA,NA,dev set,0.8756,0.9257,0.0986,0.0017,0.8364,0.1763
model_15,22,LGB trained for ALL the features subsample 0.7,LGB,LGB(n_estimators=10000 random_state=0),0.7895,0.9208,0.0591,0.0036,0.5939,0.1076,NA,NA,dev set,0.8869,0.9268,0.1109,0.0016,0.8604,0.1965
model_15,23,LGB trained for ALL the features subsample 0.9,LGB,LGB(n_estimators=10000 random_state=0),0.7894,0.9207,0.0583,0.0036,0.5877,0.1061,NA,NA,dev set,0.8884,0.9269,0.1124,0.0015,0.8645,0.1989
model_15,24,LGB trained for ALL the features subsample 0.85 ,LGB,LGB(n_estimators=10000 random_state=0),0.7898,0.9206,0.0553,0.0034,0.5853,0.101,NA,NA,dev set,0.8737,0.9255,0.0964,0.0017,0.831,0.1728
model_15,25,LGB trained for ALL the features subsample 0.8715623 ,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9207,0.0559,0.0033,0.5972,0.1023,NA,NA,dev set,0.8756,0.9257,0.0986,0.0017,0.8364,0.1763
model_15,26,LGB trained for ALL the features min child weight 50 ,LGB,LGB(n_estimators=10000 random_state=0),0.7902,0.9208,0.0574,0.0034,0.5963,0.1047,NA,NA,dev set,0.8836,0.9265,0.1077,0.0016,0.8576,0.1914
model_15,27,LGB trained for ALL the features min child weight 100 ,LGB,LGB(n_estimators=10000 random_state=0),0.79,0.9208,0.059,0.0035,0.5951,0.1073,NA,NA,dev set,0.8894,0.9269,0.1127,0.0016,0.8616,0.1993
model_15,28,LGB trained for ALL the features min child weight 60 ,LGB,LGB(n_estimators=10000 random_state=0),0.7904,0.9208,0.0601,0.0036,0.5939,0.1092,NA,NA,dev set,0.8961,0.9278,0.1228,0.0015,0.8779,0.2154
model_15,29,LGB trained for ALL the features min_split_gain 0.04 ,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9206,0.0588,0.0037,0.5821,0.1068,NA,NA,dev set,0.8963,0.9279,0.1223,0.0014,0.884,0.2149
model_15,30,LGB trained for ALL the features min_split_gain 0.01 ,LGB,LGB(n_estimators=10000 random_state=0),0.7899,0.9207,0.0549,0.0033,0.5951,0.1006,NA,NA,dev set,0.8748,0.9256,0.0968,0.0017,0.837,0.1736
model_15,30,LGB trained for ALL the features num leaves 20 ,LGB,LGB(n_estimators=10000 random_state=0),0.7894,0.9207,0.0569,0.0034,0.5953,0.1038,NA,NA,dev set,0.8586,0.9242,0.0846,0.0021,0.7814,0.1527
model_15,31,LGB trained for ALL the features num leaves 40 ,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9207,0.0572,0.0035,0.5897,0.1043,NA,NA,dev set,0.888,0.9269,0.1111,0.0015,0.8704,0.1971
model_15,32,LGB trained for ALL the features num leaves 30 ,LGB,LGB(n_estimators=10000 random_state=0),0.79,0.9208,0.058,0.0035,0.595,0.1057,NA,NA,dev set,0.8804,0.9261,0.1042,0.0017,0.8449,0.1855
model_15,33,LGB trained for ALL the features lr 0.06 ,LGB,LGB(n_estimators=10000 random_state=0),0.7882,0.9207,0.0596,0.0037,0.5836,0.1082,NA,NA,dev set,0.8831,0.9266,0.1091,0.0017,0.8531,0.1935
model_15,34,LGB trained for ALL the features lr 0.0.15 ,LGB,LGB(n_estimators=10000 random_state=0),0.7902,0.9206,0.0558,0.0034,0.5894,0.1019,NA,NA,dev set,0.879,0.9259,0.1011,0.0016,0.844,0.1806
model_15,35,LGB trained for ALL the features lr 0.1,LGB,LGB(n_estimators=10000 random_state=0),0.7903,0.9207,0.058,0.0036,0.5892,0.1056,NA,NA,dev set,0.8928,0.9275,0.1179,0.0014,0.878,0.2079
Model_15,36,5 fold LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.792735,0.920382,0.055186,0.003637,0.571309,0.10065,Submission_26.csv,0.798,dev set,,,,,,
Model_15,37,5 fold LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.793237,0.920294,0.054783,0.003697,0.565489,0.09989,Submission_27.csv,0.798,dev set,,,,,,
model_15,38,LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.7902,0.9208,0.0574,0.0034,0.5963,0.1047,NA,NA,dev set,0.8836,0.9265,0.1077,0.0016,0.8576,0.1914
model_15,39,LGB trained for ALL the features less features,LGB,LGB(n_estimators=10000 random_state=0),0.7894,0.9205,0.0566,0.0036,0.5811,0.1031,NA,NA,dev set,0.8802,0.9261,0.103,0.0016,0.8464,0.1836
model_15,40,LGB trained for ALL the features less product of ext,LGB,LGB(n_estimators=10000 random_state=0),0.7897,0.9206,0.0575,0.0036,0.5843,0.1047,NA,NA,dev set,0.8803,0.9262,0.1046,0.0016,0.851,0.1863
Model_17,0,LGB trained for ALL the features - baseline,LGB,LGB(n_estimators=10000 random_state=0),0.79,0.9208,0.0569,0.0034,0.5973,0.1039,NA,NA,dev set,0.8896,0.9272,0.1145,0.0014,0.8759,0.2025
model_17,1,LGB trained for ALL the features,LGB,LGB(n_estimators=10000 random_state=0),0.7898,0.9207,0.0585,0.0035,0.5922,0.1065,NA,NA,dev set,0.8931,0.9276,0.12,0.0014,0.8809,0.2112
model_17,2,LGB trained for ALL the features + income per area,LGB,LGB(n_estimators=10000 random_state=0),0.7901,0.9206,0.0591,0.0038,0.5798,0.1073,NA,NA,dev set,0.8889,0.927,0.1134,0.0016,0.8637,0.2004
model_17,3,LGB trained for ALL the features + income per area + CNT social,LGB,LGB(n_estimators=10000 random_state=0),0.79,0.9206,0.057,0.0036,0.5842,0.1039,NA,NA,dev set,0.8803,0.9263,0.1051,0.0016,0.8545,0.1871
model_17,4,LGB trained for ALL the features + income per area only,LGB,LGB(n_estimators=10000 random_state=0),0.7902,0.9209,0.0614,0.0036,0.5991,0.1114,NA,NA,dev set,0.8876,0.9269,0.1124,0.0016,0.8598,0.1987
model_17,5,LGB trained for ALL the features - buro recent features,LGB,LGB(n_estimators=10000 random_state=0),0.7905,0.9207,0.0583,0.0035,0.5915,0.1062,NA,NA,dev set,0.8875,0.927,0.1126,0.0015,0.8686,0.1993
model_17,6,LGB trained for ALL the features – buro BB > 24 recent features,LGB,LGB(n_estimators=10000 random_state=0),0.7906,0.9208,0.0601,0.0036,0.5958,0.1092,NA,NA,dev set,0.8877,0.9271,0.1137,0.0015,0.8716,0.2012
model_17,7,LGB trained for ALL the features -BB > 24 POS > 24,LGB,LGB(n_estimators=10000 random_state=0),0.7906,0.9207,0.0591,0.0036,0.59,0.1075,NA,NA,dev set,0.8792,0.9263,0.1051,0.0015,0.8579,0.1872
model_17,8,LGB trained for ALL the features -BB > 24 POS > 24 cc> 24,LGB,LGB(n_estimators=10000 random_state=0),0.7906,0.9207,0.0598,0.0037,0.5861,0.1085,NA,NA,dev set,0.8914,0.9275,0.119,0.0014,0.8783,0.2096
model_17,9,LGB trained for ALL the features -BB > 24 POS > 24 ins> 36,LGB,LGB(n_estimators=10000 random_state=0),0.7911,0.9207,0.0611,0.0038,0.5867,0.1106,NA,NA,dev set,0.887,0.9272,0.1152,0.0015,0.8691,0.2034
model_17,10,LGB trained for ALL the features -BB > 24 POS > 24 ins> 36 cc> 24,LGB,LGB(n_estimators=10000 random_state=0),0.791,0.9206,0.0583,0.0037,0.5792,0.106,NA,NA,dev set,0.8806,0.9265,0.1076,0.0016,0.8579,0.1913
Model_17,11,5 fold LGB trained for ALL the features – kflod,LGB,LGB(n_estimators=10000 random_state=0),0.793334,0.920168,0.055388,0.003888,0.55578,0.100736,Submission_28.csv,0.798,dev set,,,,,,
Model_17,12,5 fold LGB trained for ALL the features – stratified,LGB,LGB(n_estimators=10000 random_state=0),0.793927,0.920291,0.056556,0.003856,0.562951,0.102786,Submission_29.csv,,dev set,,,,,,
model_17,11,LGB trained for ALL the features - added buro debit credit ratio,LGB,LGB(n_estimators=10000 random_state=0),0.7921,0.9209,0.0625,0.0038,0.5933,0.1131,NA,NA,dev set,0.8816,0.9265,0.1089,0.0017,0.8495,0.193
